Wlot,Relacja,Godz,b.moto,c.osobowe,c3.mikrobusy,d.dostawcze,e.ciężarowe,f.ciężarowe z naczepą,g.autobusy,h.rolne,rowery,hulajnogi,pieszy,pieszy potrzeby
WSCH,Prawo,13,1,23,0,0,1,1,0,0,3,0,0,0
WSCH,Prawo,14,2,35,0,5,0,0,0,0,3,0,0,0
WSCH,Prawo,15,2,44,1,2,2,0,0,0,7,0,0,0
WSCH,Prawo,16,3,47,0,3,0,0,0,0,5,0,0,0
WSCH,Prawo,17,1,65,0,1,0,0,0,0,4,0,0,0
WSCH,Prawo,18,0,63,0,1,1,0,0,0,4,0,0,0
WSCH,Prawo,19,2,48,0,1,0,0,0,0,0,0,0,0
WSCH,Prawo,20,1,34,0,1,0,0,0,0,1,0,0,0
WSCH,Prawo,21,1,18,0,0,0,0,0,0,2,0,0,0
WSCH,Prawo,22,0,3,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,23,0,1,0,0,0,0,0,0,0,0,0,0
ZACH,Lewo,0,0,2,0,6,1,0,0,0,0,0,3,0
ZACH,Lewo,1,0,1,0,4,0,0,0,0,0,0,0,0
ZACH,Lewo,2,0,0,0,0,0,0,0,0,0,0,0,0
ZACH,Lewo,3,0,1,0,1,0,0,0,0,0,0,0,0
ZACH,Lewo,4,0,8,0,1,0,0,0,0,0,0,0,0
ZACH,Lewo,5,0,14,0,0,1,0,0,0,2,0,4,0
ZACH,Lewo,6,0,79,0,5,0,0,0,0,5,0,2,0
ZACH,Lewo,7,1,72,0,3,1,0,0,1,2,0,1,0
ZACH,Lewo,8,0,46,0,3,1,1,0,0,2,0,1,0
ZACH,Lewo,9,1,62,0,7,2,1,0,0,3,0,0,0
ZACH,Lewo,10,0,60,0,3,0,0,0,0,0,0,0,0
ZACH,Lewo,11,1,75,0,6,1,1,0,0,2,0,1,0
ZACH,Lewo,12,1,67,0,5,1,0,0,0,0,0,3,0
ZACH,Lewo,13,0,101,0,3,1,1,0,0,2,0,1,0
ZACH,Lewo,14,0,121,1,2,0,0,0,0,1,0,4,1
ZACH,Lewo,15,0,163,0,5,0,0,0,0,12,0,5,0
ZACH,Lewo,16,0,165,0,3,0,0,0,0,11,1,1,1
ZACH,Lewo,17,1,145,0,2,0,0,0,0,10,1,4,0
ZACH,Lewo,18,0,126,0,1,0,0,0,0,0,0,6,0
ZACH,Lewo,19,0,121,0,3,0,0,0,0,7,0,3,0
ZACH,Lewo,20,1,85,0,0,0,0,0,0,0,1,0,0
ZACH,Lewo,21,0,50,0,0,0,0,0,0,0,0,0,0
ZACH,Lewo,22,0,23,0,1,0,0,0,0,0,0,0,0
ZACH,Lewo,23,0,5,0,3,0,0,0,0,0,0,0,0
ZACH,Wprost,0,0,15,0,1,0,1,0,0,0,0,0,0
ZACH,Wprost,1,0,11,0,0,0,2,0,0,0,0,0,0
ZACH,Wprost,2,0,5,0,4,1,6,0,0,0,0,0,0
ZACH,Wprost,3,0,8,0,4,0,8,0,0,0,0,0,0
ZACH,Wprost,4,0,26,1,9,2,14,0,0,0,0,0,0
ZACH,Wprost,5,1,116,0,13,3,16,1,0,0,0,0,0
ZACH,Wprost,6,4,173,0,25,20,24,0,1,0,0,0,0
ZACH,Wprost,7,1,124,1,23,29,24,4,1,0,0,0,0
ZACH,Wprost,8,0,104,0,30,36,23,4,1,2,0,0,0
ZACH,Wprost,9,3,78,0,15,28,23,1,0,0,0,0,0
ZACH,Wprost,10,0,87,0,22,32,38,2,1,1,0,0,0
ZACH,Wprost,11,0,100,0,18,23,31,0,2,1,0,0,0
ZACH,Wprost,12,1,105,1,14,25,25,4,1,1,0,0,0
ZACH,Wprost,13,4,122,0,21,29,21,2,0,3,0,0,0
ZACH,Wprost,14,2,163,0,21,21,22,2,0,3,0,0,0
ZACH,Wprost,15,2,187,2,25,19,14,1,0,3,0,0,0
ZACH,Wprost,16,6,191,1,11,13,20,2,1,6,0,0,0
ZACH,Wprost,17,1,161,0,10,8,16,6,0,4,0,1,0
ZACH,Wprost,18,3,128,0,10,10,18,0,0,3,0,0,0
ZACH,Wprost,19,2,131,0,4,3,5,0,0,0,0,0,0
ZACH,Wprost,20,1,113,0,9,3,9,1,0,1,0,0,0
ZACH,Wprost,21,1,85,0,6,1,6,0,0,0,0,0,0
ZACH,Wprost,22,1,50,0,3,0,1,1,0,0,0,1,0
ZACH,Wprost,23,0,23,0,1,0,6,0,0,0,0,0,0
ZACH,Prawo,0,0,19,0,4,0,1,1,0,0,0,0,0
ZACH,Prawo,1,0,11,0,0,0,1,0,0,0,0,0,0
ZACH,Prawo,2,0,7,0,1,0,0,0,0,0,0,0,0
